"0","0","83.0"
"0","1","56.0"
"0","2","62.0"
"0","3","87.0"
"0","4","68.0"
"1","0","192.0"
"1","1","78.0"
"1","2","41.0"
"1","3","35.0"
"1","4","119.0"
"2","0","69.0"
"2","1","34.0"
"2","2","43.0"
"2","3","93.0"
"2","4","87.0"
"3","0","75.0"
"3","1","66.0"
"3","2","46.0"
"3","3","100.0"
"3","4","157.0"
"4","0","110.0"
"4","1","70.0"
"4","2","60.0"
"4","3","64.0"
"4","4","66.0"
"5","0","52.0"
"5","1","51.0"
"5","2","89.0"
"5","3","60.0"
"5","4","37.0"
"6","0","42.0"
"6","1","54.0"
"6","2","68.0"
"6","3","33.0"
"6","4","45.0"
