"0","0","41.0"
"0","1","64.0"
"0","2","50.0"
"0","3","51.0"
"0","4","35.0"
"1","0","65.0"
"1","1","69.0"
"1","2","34.0"
"1","3","67.0"
"1","4","68.0"
"2","0","64.0"
"2","1","47.0"
"2","2","37.0"
"2","3","57.0"
"2","4","113.0"
"3","0","149.0"
"3","1","79.0"
"3","2","92.0"
"3","3","159.0"
"3","4","299.0"
"4","0","49.0"
"4","1","81.0"
"4","2","73.0"
"4","3","67.0"
"4","4","61.0"
"5","0","49.0"
"5","1","51.0"
"5","2","50.0"
"5","3","29.0"
"5","4","21.0"
"6","0","42.0"
"6","1","52.0"
"6","2","96.0"
"6","3","51.0"
"6","4","43.0"
