"0","0","28.0"
"0","1","16.0"
"0","2","21.0"
"0","3","22.0"
"0","4","22.0"
"1","0","50.0"
"1","1","37.0"
"1","2","26.0"
"1","3","50.0"
"1","4","43.0"
"2","0","30.0"
"2","1","32.0"
"2","2","29.0"
"2","3","55.0"
"2","4","68.0"
"3","0","161.0"
"3","1","134.0"
"3","2","120.0"
"3","3","180.0"
"3","4","425.0"
"4","0","33.0"
"4","1","61.0"
"4","2","32.0"
"4","3","32.0"
"4","4","30.0"
"5","0","26.0"
"5","1","46.0"
"5","2","35.0"
"5","3","34.0"
"5","4","23.0"
"6","0","47.0"
"6","1","150.0"
"6","2","103.0"
"6","3","44.0"
"6","4","57.0"
